Wavelength	Transit Depth
(meters)	(percent)
5.885649e-07	1.086558e+00
5.891526e-07	1.128371e+00
5.897409e-07	1.096368e+00
5.903298e-07	1.076104e+00
5.909192e-07	1.070118e+00
5.915093e-07	1.067152e+00
5.920999e-07	1.065149e+00
5.926912e-07	1.063446e+00
5.932830e-07	1.061957e+00
5.938754e-07	1.060595e+00
5.944684e-07	1.059330e+00
5.950620e-07	1.058158e+00
5.956562e-07	1.057045e+00
5.962510e-07	1.056009e+00
5.968464e-07	1.055138e+00
5.974423e-07	1.054124e+00
5.980389e-07	1.053256e+00
5.986361e-07	1.052461e+00
5.992338e-07	1.051723e+00
5.998322e-07	1.051021e+00
6.004311e-07	1.050625e+00
6.010307e-07	1.049787e+00
6.016308e-07	1.049225e+00
6.022316e-07	1.048721e+00
6.028329e-07	1.048227e+00
6.034349e-07	1.047788e+00
6.040374e-07	1.047404e+00
6.046406e-07	1.047031e+00
6.052444e-07	1.046636e+00
6.058487e-07	1.046323e+00
6.064537e-07	1.046000e+00
6.070592e-07	1.045717e+00
6.076654e-07	1.045449e+00
6.082722e-07	1.045208e+00
6.088796e-07	1.045342e+00
6.094876e-07	1.044752e+00
6.100962e-07	1.044555e+00
6.107054e-07	1.044364e+00
6.113152e-07	1.044582e+00
6.119256e-07	1.044019e+00
6.125366e-07	1.043874e+00
6.131483e-07	1.043717e+00
6.137605e-07	1.043585e+00
6.143734e-07	1.043455e+00
6.149869e-07	1.043328e+00
6.156009e-07	1.043214e+00
6.162156e-07	1.043108e+00
6.168310e-07	1.043010e+00
6.174469e-07	1.042910e+00
6.180634e-07	1.042823e+00
6.186806e-07	1.042734e+00
6.192984e-07	1.042713e+00
6.199168e-07	1.042618e+00
6.205358e-07	1.042527e+00
6.211554e-07	1.042457e+00
6.217756e-07	1.042370e+00
6.223965e-07	1.042322e+00
6.230180e-07	1.042313e+00
6.236401e-07	1.042211e+00
6.242628e-07	1.042139e+00
6.248862e-07	1.042088e+00
6.255101e-07	1.042049e+00
6.261347e-07	1.041998e+00
6.267600e-07	1.041963e+00
6.273858e-07	1.041931e+00
6.280123e-07	1.041881e+00
6.286394e-07	1.041843e+00
6.292671e-07	1.041794e+00
6.298954e-07	1.041772e+00
6.305244e-07	1.041732e+00
6.311540e-07	1.041694e+00
6.317842e-07	1.041690e+00
6.324151e-07	1.041666e+00
6.330466e-07	1.041795e+00
6.336787e-07	1.041587e+00
6.343115e-07	1.041556e+00
6.349448e-07	1.041532e+00
6.355789e-07	1.041507e+00
6.362135e-07	1.041501e+00
6.368488e-07	1.041471e+00
6.374847e-07	1.041456e+00
6.381213e-07	1.041437e+00
6.387584e-07	1.041449e+00
6.393963e-07	1.041385e+00
6.400347e-07	1.041383e+00
6.406738e-07	1.041357e+00
6.413136e-07	1.041395e+00
6.419539e-07	1.041332e+00
6.425950e-07	1.041305e+00
6.432366e-07	1.041310e+00
6.438789e-07	1.041300e+00
6.445218e-07	1.041295e+00
6.451654e-07	1.041251e+00
6.458096e-07	1.041227e+00
6.464545e-07	1.041220e+00
6.471000e-07	1.041209e+00
6.477462e-07	1.041201e+00
6.483930e-07	1.041200e+00
6.490404e-07	1.041170e+00
6.496885e-07	1.041173e+00
6.503372e-07	1.041163e+00
6.509866e-07	1.041146e+00
6.516367e-07	1.041151e+00
6.522873e-07	1.041133e+00
6.529387e-07	1.041168e+00
6.535907e-07	1.041127e+00
6.542433e-07	1.041125e+00
6.548966e-07	1.041088e+00
6.555505e-07	1.041086e+00
6.562051e-07	1.041113e+00
6.568604e-07	1.041089e+00
6.575163e-07	1.041148e+00
6.581728e-07	1.041057e+00
6.588300e-07	1.042740e+00
6.594879e-07	1.041470e+00
6.601464e-07	1.041040e+00
6.608056e-07	1.041030e+00
6.614654e-07	1.041022e+00
6.621259e-07	1.041022e+00
6.627871e-07	1.042488e+00
6.634489e-07	1.041241e+00
6.641114e-07	1.041000e+00
6.647745e-07	1.041011e+00
6.654383e-07	1.041003e+00
6.661028e-07	1.040990e+00
6.667679e-07	1.041057e+00
6.674337e-07	1.041135e+00
6.681002e-07	1.040975e+00
6.687673e-07	1.040978e+00
6.694351e-07	1.040967e+00
6.701035e-07	1.040969e+00
6.707727e-07	1.040968e+00
6.714424e-07	1.040954e+00
6.721129e-07	1.040956e+00
6.727840e-07	1.040944e+00
6.734558e-07	1.040954e+00
6.741283e-07	1.040988e+00
6.748015e-07	1.040993e+00
6.754753e-07	1.040941e+00
6.761498e-07	1.040930e+00
6.768249e-07	1.040958e+00
6.775007e-07	1.040926e+00
6.781773e-07	1.040920e+00
6.788544e-07	1.040919e+00
6.795323e-07	1.040925e+00
6.802108e-07	1.040940e+00
6.808901e-07	1.040913e+00
6.815700e-07	1.040916e+00
6.822505e-07	1.040922e+00
6.829318e-07	1.040902e+00
6.836137e-07	1.040903e+00
6.842963e-07	1.040912e+00
6.849796e-07	1.040902e+00
6.856636e-07	1.040898e+00
6.863483e-07	1.040895e+00
6.870336e-07	1.040893e+00
6.877196e-07	1.041314e+00
6.884063e-07	1.040911e+00
6.890937e-07	1.040901e+00
6.897818e-07	1.040941e+00
6.904706e-07	1.040892e+00
6.911601e-07	1.040897e+00
6.918502e-07	1.040897e+00
6.925410e-07	1.041095e+00
6.932326e-07	1.040897e+00
6.939248e-07	1.040974e+00
6.946177e-07	1.041031e+00
6.953113e-07	1.040920e+00
6.960056e-07	1.040900e+00
6.967006e-07	1.041168e+00
6.973963e-07	1.040952e+00
6.980926e-07	1.040899e+00
6.987897e-07	1.041027e+00
6.994875e-07	1.040897e+00
