wave,flux,error
1.197676006,3.98E-16,7.37E-18
1.197782078,3.99E-16,7.24E-18
1.19788815,4.00E-16,7.12E-18
1.197994222,4.02E-16,7.03E-18
1.198100294,4.04E-16,6.99E-18
1.198206366,4.07E-16,6.99E-18
1.198312439,4.09E-16,7.02E-18
1.198418511,4.10E-16,7.05E-18
1.198524583,4.12E-16,7.07E-18
1.198630655,4.12E-16,7.06E-18
1.198736727,4.12E-16,7.02E-18
1.198842799,4.12E-16,6.94E-18
1.198948871,4.11E-16,6.82E-18
1.199054943,4.11E-16,6.69E-18
1.199161015,4.10E-16,6.54E-18
1.199267087,4.10E-16,6.40E-18
1.199373159,4.10E-16,6.26E-18
1.199479231,4.11E-16,6.14E-18
1.199585303,4.12E-16,6.05E-18
1.199691375,4.13E-16,5.98E-18
1.199797448,4.14E-16,5.95E-18
1.19990352,4.14E-16,5.95E-18
1.200009592,4.15E-16,6.01E-18
1.200115664,4.14E-16,6.11E-18
1.200221736,4.14E-16,6.26E-18
1.200327808,4.13E-16,6.44E-18
1.20043388,4.12E-16,6.63E-18
1.200539952,4.10E-16,6.79E-18
1.200646024,4.09E-16,6.90E-18
1.200752096,4.08E-16,6.96E-18
1.200858168,4.07E-16,6.97E-18
1.20096424,4.06E-16,6.95E-18
1.201070312,4.05E-16,6.92E-18
1.201176384,4.05E-16,6.89E-18
1.201282456,4.05E-16,6.87E-18
1.201388529,4.05E-16,6.87E-18
1.201494601,4.05E-16,6.88E-18
1.201600673,4.06E-16,6.88E-18
1.201706745,4.06E-16,6.88E-18
1.201812817,4.06E-16,6.86E-18
1.201918889,4.05E-16,6.83E-18
1.202024961,4.04E-16,6.78E-18
1.202131033,4.03E-16,6.74E-18
1.202237105,4.02E-16,6.71E-18
1.202343177,4.01E-16,6.70E-18
1.202449249,3.99E-16,6.74E-18
1.202555321,3.98E-16,6.83E-18
1.202661393,3.97E-16,6.97E-18
1.202767465,3.97E-16,7.13E-18
1.202873537,3.98E-16,7.30E-18
1.20297961,3.99E-16,7.43E-18
1.203085682,4.02E-16,7.52E-18
1.203191754,4.05E-16,7.55E-18
1.203297826,4.09E-16,7.51E-18
1.203403898,4.15E-16,7.43E-18
1.20350997,4.20E-16,7.32E-18
1.203616042,4.26E-16,7.20E-18
1.203722114,4.33E-16,7.08E-18
1.203828186,4.38E-16,6.97E-18
1.203934258,4.44E-16,6.87E-18
1.20404033,4.48E-16,6.80E-18
1.204146402,4.51E-16,6.75E-18
1.204252474,4.53E-16,6.74E-18
1.204358546,4.54E-16,6.77E-18
1.204464619,4.54E-16,6.83E-18
1.204570691,4.53E-16,6.92E-18
1.204676763,4.51E-16,7.03E-18
1.204782835,4.49E-16,7.15E-18
1.204888907,4.47E-16,7.29E-18
1.204994979,4.46E-16,7.44E-18
1.205101051,4.44E-16,7.59E-18
1.205207123,4.44E-16,7.73E-18
1.205313195,4.44E-16,7.82E-18
1.205419267,4.45E-16,7.87E-18
1.205525339,4.46E-16,7.86E-18
1.205631411,4.48E-16,7.78E-18
1.205737483,4.50E-16,7.64E-18
1.205843555,4.51E-16,7.46E-18
1.205949627,4.52E-16,7.25E-18
1.2060557,4.53E-16,7.05E-18
1.206161772,4.53E-16,6.87E-18
1.206267844,4.51E-16,6.74E-18
1.206373916,4.49E-16,6.68E-18
1.206479988,4.47E-16,6.70E-18
1.20658606,4.44E-16,6.79E-18
1.206692132,4.40E-16,6.94E-18
1.206798204,4.37E-16,7.12E-18
1.206904276,4.34E-16,7.30E-18
1.207010348,4.32E-16,7.45E-18
1.20711642,4.31E-16,7.54E-18
1.207222492,4.30E-16,7.56E-18
1.207328564,4.31E-16,7.50E-18
1.207434636,4.32E-16,7.38E-18
1.207540708,4.34E-16,7.20E-18
1.207646781,4.36E-16,6.98E-18
1.207752853,4.38E-16,6.76E-18
1.207858925,4.40E-16,6.55E-18
1.207964997,4.42E-16,6.37E-18
1.208071069,4.43E-16,6.23E-18
1.208177141,4.43E-16,6.13E-18
1.208283213,4.43E-16,6.06E-18
1.208389285,4.41E-16,6.03E-18
1.208495357,4.38E-16,6.03E-18
1.208601429,4.35E-16,6.06E-18
1.208707501,4.32E-16,6.11E-18
1.208813573,4.28E-16,6.18E-18
1.208919645,4.25E-16,6.25E-18
1.209025717,4.23E-16,6.32E-18
1.20913179,4.21E-16,6.38E-18
1.209237862,4.21E-16,6.43E-18
1.209343934,4.22E-16,6.48E-18
1.209450006,4.24E-16,6.53E-18
1.209556078,4.27E-16,6.58E-18
1.20966215,4.32E-16,6.60E-18
1.209768222,4.36E-16,6.60E-18
1.209874294,4.41E-16,6.57E-18
1.209980366,4.45E-16,6.51E-18
1.210086438,4.48E-16,6.42E-18
1.21019251,4.50E-16,6.33E-18
1.210298582,4.51E-16,6.25E-18
1.210404654,4.51E-16,6.18E-18
1.210510726,4.50E-16,6.13E-18
1.210616798,4.47E-16,6.08E-18
1.210722871,4.44E-16,6.04E-18
1.210828943,4.41E-16,6.01E-18
1.210935015,4.37E-16,6.00E-18
1.211041087,4.33E-16,6.00E-18
1.211147159,4.30E-16,6.01E-18
1.211253231,4.27E-16,6.05E-18
1.211359303,4.24E-16,6.12E-18
1.211465375,4.23E-16,6.23E-18
1.211571447,4.22E-16,6.40E-18
1.211677519,4.22E-16,6.63E-18
1.211783591,4.23E-16,6.91E-18
1.211889663,4.24E-16,7.24E-18
1.211995735,4.27E-16,7.57E-18
1.212101807,4.30E-16,7.84E-18
1.212207879,4.33E-16,8.03E-18
1.212313952,4.36E-16,8.08E-18
1.212420024,4.38E-16,8.01E-18
1.212526096,4.39E-16,7.82E-18
1.212632168,4.40E-16,7.57E-18
1.21273824,4.39E-16,7.30E-18
1.212844312,4.38E-16,7.09E-18
1.212950384,4.36E-16,7.01E-18
1.213056456,4.35E-16,7.09E-18
1.213162528,4.34E-16,7.36E-18
1.2132686,4.34E-16,7.77E-18
1.213374672,4.35E-16,8.25E-18
1.213480744,4.37E-16,8.71E-18
1.213586816,4.40E-16,9.06E-18
1.213692888,4.44E-16,9.25E-18
1.213798961,4.48E-16,9.22E-18
1.213905033,4.52E-16,9.00E-18
1.214011105,4.55E-16,8.60E-18
1.214117177,4.58E-16,8.10E-18
1.214223249,4.61E-16,7.56E-18
1.214329321,4.62E-16,7.06E-18
1.214435393,4.64E-16,6.64E-18
1.214541465,4.65E-16,6.34E-18
1.214647537,4.66E-16,6.16E-18
1.214753609,4.68E-16,6.07E-18
1.214859681,4.69E-16,6.06E-18
1.214965753,4.71E-16,6.11E-18
1.215071825,4.73E-16,6.18E-18
1.215177897,4.75E-16,6.27E-18
1.215283969,4.77E-16,6.35E-18
1.215390042,4.78E-16,6.42E-18
1.215496114,4.79E-16,6.48E-18
1.215602186,4.79E-16,6.50E-18
1.215708258,4.79E-16,6.49E-18
1.21581433,4.78E-16,6.44E-18
1.215920402,4.77E-16,6.34E-18
1.216026474,4.76E-16,6.20E-18
1.216132546,4.75E-16,6.05E-18
1.216238618,4.75E-16,5.88E-18
1.21634469,4.74E-16,5.73E-18
1.216450762,4.74E-16,5.60E-18
1.216556834,4.74E-16,5.50E-18
1.216662906,4.75E-16,5.44E-18
1.216768978,4.75E-16,5.42E-18
1.21687505,4.75E-16,5.42E-18
1.216981123,4.76E-16,5.46E-18
1.217087195,4.77E-16,5.53E-18
1.217193267,4.78E-16,5.61E-18
1.217299339,4.79E-16,5.71E-18
1.217405411,4.80E-16,5.81E-18
1.217511483,4.81E-16,5.89E-18
1.217617555,4.83E-16,5.95E-18
1.217723627,4.84E-16,5.99E-18
1.217829699,4.85E-16,5.99E-18
1.217935771,4.85E-16,5.97E-18
1.218041843,4.85E-16,5.93E-18
1.218147915,4.85E-16,5.90E-18
1.218253987,4.84E-16,5.88E-18
1.218360059,4.83E-16,5.89E-18
1.218466132,4.82E-16,5.93E-18
1.218572204,4.81E-16,5.99E-18
1.218678276,4.81E-16,6.05E-18
1.218784348,4.80E-16,6.12E-18
1.21889042,4.80E-16,6.17E-18
1.218996492,4.80E-16,6.21E-18
1.219102564,4.81E-16,6.23E-18
1.219208636,4.82E-16,6.24E-18
1.219314708,4.83E-16,6.23E-18
1.21942078,4.85E-16,6.21E-18
1.219526852,4.86E-16,6.20E-18
1.219632924,4.88E-16,6.18E-18
1.219738996,4.89E-16,6.17E-18
1.219845068,4.91E-16,6.16E-18
1.21995114,4.92E-16,6.16E-18
1.220057213,4.93E-16,6.15E-18
1.220163285,4.94E-16,6.15E-18
1.220269357,4.94E-16,6.13E-18
1.220375429,4.94E-16,6.12E-18
1.220481501,4.93E-16,6.12E-18
1.220587573,4.92E-16,6.12E-18
1.220693645,4.91E-16,6.14E-18
1.220799717,4.89E-16,6.15E-18
1.220905789,4.88E-16,6.16E-18
1.221011861,4.87E-16,6.15E-18
1.221117933,4.86E-16,6.12E-18
1.221224005,4.86E-16,6.07E-18
1.221330077,4.85E-16,6.02E-18
1.221436149,4.85E-16,5.96E-18
1.221542221,4.85E-16,5.92E-18
1.221648294,4.85E-16,5.90E-18
1.221754366,4.86E-16,5.90E-18
1.221860438,4.86E-16,5.94E-18
1.22196651,4.86E-16,6.00E-18
1.222072582,4.86E-16,6.11E-18
1.222178654,4.87E-16,6.25E-18
1.222284726,4.88E-16,6.43E-18
1.222390798,4.89E-16,6.63E-18
1.22249687,4.91E-16,6.85E-18
1.222602942,4.93E-16,7.05E-18
1.222709014,4.95E-16,7.21E-18
1.222815086,4.97E-16,7.31E-18
1.222921158,5.00E-16,7.32E-18
1.22302723,5.02E-16,7.25E-18
1.223133303,5.04E-16,7.12E-18
1.223239375,5.05E-16,6.97E-18
1.223345447,5.06E-16,6.83E-18
1.223451519,5.07E-16,6.72E-18
1.223557591,5.07E-16,6.67E-18
1.223663663,5.07E-16,6.66E-18
1.223769735,5.08E-16,6.70E-18
1.223875807,5.08E-16,6.78E-18
