lower bin	upper bin	clr prior value
-17.75295473171813	-17.711643734605193	0.0010646063398942226
-17.711643734605193	-17.67033273749226	0.0015839265056964188
-17.67033273749226	-17.629021740379322	0.0008568782735733988
-17.629021740379322	-17.587710743266385	0.0013242664227952527
-17.587710743266385	-17.546399746153448	0.0014281304559556648
-17.546399746153448	-17.50508874904051	0.0012983004145051497
-17.50508874904051	-17.463777751927573	0.0016098925139863855
-17.463777751927573	-17.42246675481464	0.0015319944891162085
-17.42246675481464	-17.381155757701702	0.0019734166300478277
-17.381155757701702	-17.339844760588765	0.0014800624725358708
-17.339844760588765	-17.298533763475827	0.0018955186051775187
-17.298533763475827	-17.257222766362894	0.0015579604974063138
-17.257222766362894	-17.215911769249956	0.0016618245305665916
-17.215911769249956	-17.17460077213702	0.0021032466714983426
-17.17460077213702	-17.133289775024082	0.0017397225554369007
-17.133289775024082	-17.091978777911145	0.0021032466714983426
-17.091978777911145	-17.050667780798207	0.0023109747378191664
-17.050667780798207	-17.009356783685273	0.002622566837300628
-17.009356783685273	-16.968045786572336	0.0024927367958498875
-16.968045786572336	-16.9267347894594	0.0025706348207201967
-16.9267347894594	-16.88542379234646	0.0033236490611331833
-16.88542379234646	-16.844112795233528	0.0027004648621709437
-16.844112795233528	-16.80280179812059	0.0024927367958498875
-16.80280179812059	-16.761490801007653	0.003063988978232153
-16.761490801007653	-16.720179803894716	0.0037650712020649343
-16.720179803894716	-16.67886880678178	0.0030120569616519472
-16.67886880678178	-16.63755780966884	0.0038949012435154492
-16.63755780966884	-16.596246812555904	0.003245751036262874
-16.596246812555904	-16.55493581544297	0.0035833091440345215
-16.55493581544297	-16.513624818330033	0.003972799268385758
-16.513624818330033	-16.472313821217096	0.0036612071689045224
-16.472313821217096	-16.431002824104162	0.0038429692269355735
-16.431002824104162	-16.389691826991225	0.004492119434187819
-16.389691826991225	-16.348380829878288	0.004518085442477921
-16.348380829878288	-16.30706983276535	0.0043363233844472
-16.30706983276535	-16.265758835652413	0.005063371616570084
-16.265758835652413	-16.224447838539476	0.0043882554010274055
-16.224447838539476	-16.18313684142654	0.004699847500508642
-16.18313684142654	-16.141825844313605	0.004985473591700203
-16.141825844313605	-16.100514847200667	0.004829677541959157
-16.100514847200667	-16.05920385008773	0.005400929724341423
-16.05920385008773	-16.017892852974793	0.004985473591699775
-16.017892852974793	-15.976581855861857	0.0061279779564645705
-15.976581855861857	-15.935270858748922	0.005972181906723946
-15.935270858748922	-15.893959861635985	0.005790419848692967
-15.893959861635985	-15.852648864523047	0.007010822238327809
-15.852648864523047	-15.81133786741011	0.006127977956464306
-15.81133786741011	-15.770026870297174	0.006387638039365612
-15.770026870297174	-15.728715873184239	0.006153943964754674
-15.728715873184239	-15.687404876071302	0.00659536610568616
-15.687404876071302	-15.646093878958364	0.007608040429000177
-15.646093878958364	-15.604782881845427	0.006829060180297088
-15.604782881845427	-15.563471884732492	0.007867700511901545
-15.563471884732492	-15.522160887619556	0.008309122652833316
-15.522160887619556	-15.480849890506619	0.008335088661123062
-15.480849890506619	-15.439538893393681	0.008309122652832958
-15.439538893393681	-15.398227896280744	0.008984238868375637
-15.398227896280744	-15.356916899167809	0.009529525042468208
-15.356916899167809	-15.315605902054871	0.00849088471086368
-15.315605902054871	-15.274294904941936	0.009114068909826542
-15.274294904941936	-15.232983907828999	0.009529525042467799
-15.232983907828999	-15.191672910716061	0.01033447129946099
-15.191672910716061	-15.150361913603126	0.009893049158529666
-15.150361913603126	-15.109050916490188	0.010801859448682847
-15.109050916490188	-15.067739919377253	0.011061519531584352
-15.067739919377253	-15.026428922264316	0.010074811216559962
-15.026428922264316	-14.985117925151378	0.011087485539873978
-14.985117925151378	-14.943806928038441	0.009789185125368829
-14.943806928038441	-14.902495930925506	0.011788567763707267
-14.902495930925506	-14.86118493381257	0.011788567763707267
-14.86118493381257	-14.819873936699633	0.011399077639355215
-14.819873936699633	-14.778562939586696	0.013034936161631703
-14.778562939586696	-14.737251942473758	0.012281921921218715
-14.737251942473758	-14.695940945360823	0.012515615995830181
-14.695940945360823	-14.654629948247887	0.014073576493236428
-14.654629948247887	-14.61331895113495	0.01352829031914366
-14.61331895113495	-14.572007954022013	0.014411134601007161
-14.572007954022013	-14.530696956909075	0.01326863023624263
-14.530696956909075	-14.48938595979614	0.013813916410335388
-14.48938595979614	-14.448074962683204	0.013320562252823409
-14.448074962683204	-14.406763965570267	0.014151474518106132
-14.406763965570267	-14.36545296845733	0.015735401023802414
