Temperature [K]	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized	
122.987488	3.328496e+00	3.169886e+00	3.311555e+00	3.587588e+00	2.736014e+00	3.403808e+00	3.726328e+00	3.280604e+00	
123.356848	3.393219e+00	3.231667e+00	3.375470e+00	3.656959e+00	2.790153e+00	3.470165e+00	3.798166e+00	3.344392e+00	
123.727317	3.459077e+00	3.294534e+00	3.440496e+00	3.727538e+00	2.845263e+00	3.537689e+00	3.871251e+00	3.409303e+00	
124.098899	3.526086e+00	3.358502e+00	3.506651e+00	3.799344e+00	2.901359e+00	3.606400e+00	3.945602e+00	3.475354e+00	
124.471597	3.594265e+00	3.423589e+00	3.573953e+00	3.872397e+00	2.958457e+00	3.676315e+00	4.021239e+00	3.542562e+00	
124.845414	3.663631e+00	3.489813e+00	3.642418e+00	3.946716e+00	3.016574e+00	3.747455e+00	4.098182e+00	3.610947e+00	
125.220353	3.734204e+00	3.557191e+00	3.712066e+00	4.022320e+00	3.075724e+00	3.819837e+00	4.176451e+00	3.680526e+00	
125.596419	3.806002e+00	3.625741e+00	3.782913e+00	4.099230e+00	3.135926e+00	3.893482e+00	4.256066e+00	3.751318e+00	
125.973614	3.879044e+00	3.695481e+00	3.854980e+00	4.177464e+00	3.197195e+00	3.968409e+00	4.337048e+00	3.823343e+00	
126.351942	3.953349e+00	3.766430e+00	3.928283e+00	4.257045e+00	3.259549e+00	4.044639e+00	4.419418e+00	3.896619e+00	
126.731406	4.028937e+00	3.838606e+00	4.002843e+00	4.337991e+00	3.323004e+00	4.122190e+00	4.503196e+00	3.971167e+00	
127.112010	4.105828e+00	3.912029e+00	4.078679e+00	4.420326e+00	3.387579e+00	4.201085e+00	4.588406e+00	4.047005e+00	
127.493757	4.184041e+00	3.986717e+00	4.155810e+00	4.504068e+00	3.453290e+00	4.281343e+00	4.675067e+00	4.124154e+00	
127.876650	4.263596e+00	4.062690e+00	4.234256e+00	4.589241e+00	3.520156e+00	4.362986e+00	4.763204e+00	4.202635e+00	
128.260693	4.344516e+00	4.139968e+00	4.314036e+00	4.675865e+00	3.588195e+00	4.446036e+00	4.852837e+00	4.282467e+00	
128.645890	4.426819e+00	4.218570e+00	4.395172e+00	4.763964e+00	3.657426e+00	4.530513e+00	4.943990e+00	4.363673e+00	
129.032243	4.510529e+00	4.298517e+00	4.477684e+00	4.853559e+00	3.727867e+00	4.616440e+00	5.036685e+00	4.446273e+00	
129.419757	4.595665e+00	4.379829e+00	4.561592e+00	4.944673e+00	3.799537e+00	4.703839e+00	5.130946e+00	4.530288e+00	
129.808435	4.682249e+00	4.462528e+00	4.646918e+00	5.037329e+00	3.872455e+00	4.792733e+00	5.226797e+00	4.615741e+00	
130.198279	4.770305e+00	4.546634e+00	4.733683e+00	5.131551e+00	3.946640e+00	4.883144e+00	5.324261e+00	4.702653e+00	
130.589295	4.859853e+00	4.632168e+00	4.821910e+00	5.227362e+00	4.022114e+00	4.975096e+00	5.423363e+00	4.791047e+00	
130.981485	4.950917e+00	4.719153e+00	4.911619e+00	5.324786e+00	4.098895e+00	5.068613e+00	5.524128e+00	4.880947e+00	
131.374853	5.043519e+00	4.807610e+00	5.002833e+00	5.423848e+00	4.177003e+00	5.163718e+00	5.626580e+00	4.972373e+00	
131.769402	5.137684e+00	4.897562e+00	5.095575e+00	5.524571e+00	4.256461e+00	5.260435e+00	5.730744e+00	5.065351e+00	
132.165136	5.233433e+00	4.989030e+00	5.189868e+00	5.626982e+00	4.337287e+00	5.358789e+00	5.836647e+00	5.159904e+00	
132.562058	5.330792e+00	5.082038e+00	5.285736e+00	5.731105e+00	4.419504e+00	5.458804e+00	5.944314e+00	5.256056e+00	
132.960173	5.429784e+00	5.176609e+00	5.383200e+00	5.836965e+00	4.503133e+00	5.560507e+00	6.053771e+00	5.353830e+00	
133.359483	5.530434e+00	5.272767e+00	5.482286e+00	5.944590e+00	4.588195e+00	5.663921e+00	6.165045e+00	5.453253e+00	
133.759993	5.632767e+00	5.370535e+00	5.583017e+00	6.054004e+00	4.674714e+00	5.769074e+00	6.278163e+00	5.554348e+00	
134.161705	5.736808e+00	5.469937e+00	5.685419e+00	6.165236e+00	4.762710e+00	5.875992e+00	6.393153e+00	5.657141e+00	
134.564623	5.842582e+00	5.570997e+00	5.789515e+00	6.278311e+00	4.852207e+00	5.984700e+00	6.510042e+00	5.761658e+00	
134.968752	5.950115e+00	5.673742e+00	5.895331e+00	6.393258e+00	4.943227e+00	6.095227e+00	6.628859e+00	5.867925e+00	
135.374095	6.059434e+00	5.778194e+00	6.002893e+00	6.510104e+00	5.035795e+00	6.207598e+00	6.749631e+00	5.975969e+00	
135.780654	6.170565e+00	5.884381e+00	6.112226e+00	6.628876e+00	5.129932e+00	6.321843e+00	6.872387e+00	6.085815e+00	
