Wavelength	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized
8.89325167848197e-07	0.08717651998596984	0.2789306033886864	0.5401146964786575	0.2173410488899467	0.5166881046713966	0.6025756264568329	0.31661376707786154	0.16767678713792253
8.902130416973207e-07	0.08715796159272714	0.2784067721358855	0.5400452025621592	0.2171142353578061	0.516768128652465	0.602519853191921	0.31641035869994716	0.1673374687724371
8.911018019713432e-07	0.08713938467137725	0.27788241790668905	0.5399756392651537	0.21688719538227774	0.5168482325269208	0.6024640242447623	0.31620674724560366	0.16699781164233088
8.919914495552429e-07	0.08712078920342228	0.2773575401789741	0.5399060065183737	0.21665992873728776	0.5169284163745268	0.6024081395597655	0.316002932512086	0.16665781540939206
8.928819853348816e-07	0.08718492027448721	0.27685381611175003	0.5398359760092079	0.21646040307247408	0.5170006386454479	0.6023732998186955	0.31582434577986607	0.16646634650413306
8.937734101970037e-07	0.087341789958046	0.276373868164148	0.5397655079510745	0.21629200225212983	0.5170639263887898	0.60236205813835	0.3156740640351285	0.16644141734871634
8.946657250292445e-07	0.08749881625528794	0.27589344105184	0.5396949695398819	0.21612343330578365	0.5171272773165939	0.6023508052346699	0.3155236322538955	0.16641646330482687
8.955589307201199e-07	0.08765599932257077	0.2754125342964444	0.5396243607053921	0.2159546960655843	0.5171906914919413	0.60233954109645	0.31537305028637586	0.1663914843476168
8.964530281590348e-07	0.08781333931640874	0.27493114741910074	0.5395536813772966	0.21578579036351253	0.5172541689779764	0.6023282657124743	0.3152223179826283	0.16636648045221353
8.973480182362817e-07	0.08797083639347227	0.27444927994047075	0.539482931485217	0.21561671603138144	0.5173177098379066	0.6023169790715153	0.31507143519256187	0.1663414515937195
8.982439018430424e-07	0.08812849071058823	0.27396693138073736	0.5394121109587043	0.2154474729008361	0.5173813141350022	0.6023056811623343	0.314920401765936	0.16631639774721238
